doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.07.09.196618,90.85,-4120,4232,-2046,2604,8,0,0,0,1,1,1,2,5,4,0,-1008,1497,27.45,0.001,0,5,3,0,17,0,0,0.613506494,9,2,1
10.1101/2020.07.09.20141762,3.6,0,0,-891,1092,4,1,0,0,0,1,0,0,0,0,0,-203,254,39,1,0,0,0,2,8,0,0,0.614076479,9,0.732673267,0
10.1101/2020.07.09.20148429,3848.618,0,0,-73975,95526,37,1,0,0,0,1,1,0,10,6,0.9989,-49299,61321,36.73,0.0001,-1,0,0,0,60,32,0,0.420384615,2055,0.643564356,1
10.1101/2020.07.09.20149054,4.85,0,0,-792,1030,23,1,0,0,0,1,0,0,0,0,0,-121,311,37.44,1,0,0,0,0,18,0,0,0.352380952,6,2,1
10.1101/2020.07.09.20149104,42.15,0,0,-1772,1956,24,1,0,0,0,1,0,0,0,0,0,-363,448,41.8,1,0,9,0,1,64,0,0,0.1701376,66,0.495049505,1
10.1101/2020.07.09.20149138,3,0,0,-495,675,7,1,0,0,0,0,0,6,14,12,0,-56,134,20.01,0.001,0,30,5,1,40,0,0,0.41884058,5,2,1
10.1101/2020.07.09.20149245,1.25,0,0,-564,653,1,1,0,0,0,1,0,-1,0,0,0,-127,177,22.45,1,0,-1,-1,-1,0,0,0,0.427777778,8,2,0
10.1101/2020.07.09.20149351,210.73,0,0,-1671,2020,3,1,0,0,0,1,0,-1,0,0,0,-169,805,17.07,1,0,-1,-1,-1,28,0,0,0.399693362,57,0.920792079,1
10.1101/2020.07.09.20149435,30.15,0,0,-1019,1521,4,1,0,0,0,1,0,-1,0,0,0,-196,475,34.15,1,0,-1,-1,-1,33,0,1,0.398084416,35,2,1
10.1101/2020.07.09.20149591,63.1,0,0,-1165,1664,16,1,0,0,0,1,0,1,0,0,0,-353,526,25.29,1,0,3,0,0,36,0,0,0.477830941,28,2,1
10.1101/2020.07.09.20149831,1,0,0,-529,600,8,1,0,0,0,1,0,-1,0,0,0,-60,107,35.98,1,0,-1,-1,-1,41,0,1,0.671875,4,2,1
10.1101/2020.07.09.20149849,6.6,0,0,-1296,1616,11,1,0,0,0,1,0,0,6,2,0,-397,611,24.78,0.01,0,0,0,0,44,20,0,0.525694444,16,2,1
10.1101/2020.07.09.20149856,3,0,0,-899,996,21,1,0,0,0,1,1,-1,0,0,0,-155,210,9.52,1,0,-1,-1,-1,26,0,0,0.300833333,8,2,1
10.1101/2020.07.09.20149955,17.3,0,0,-886,1071,9,1,0,0,0,1,0,1,18,17,0,-201,326,36.42,0.001,0,17,4,0,40,0,0,0.472619048,22,2,0
10.1101/2020.07.09.20149971,91.85,0,0,-907,2027,5,1,0,0,0,1,0,-1,0,0,0,-710,1049,-22.2,1,0,-1,-1,-1,11,0,0,0.464444444,40,2,1
10.1101/2020.07.09.20150029,0.5,0,0,-583,671,1,1,0,0,0,1,0,0,0,0,0,-157,193,41.8,1,0,2,1,0,22,0,1,0.319352617,2,2,0
10.1101/2020.07.09.20150086,1.25,0,0,-600,680,6,1,0,0,0,1,0,-1,0,0,0,-163,197,31.41,1,0,-1,-1,-1,46,0,0,0.477111111,8,2,1
10.1101/2020.07.09.20150128,2,0,0,-611,677,1,1,0,0,0,1,1,0,0,0,0,-118,139,34.46,1,0,7,2,0,16,0,0,0.445833333,7,2,0
10.1101/2020.07.09.20150136,3.95,0,0,-619,677,2,1,0,0,0,1,0,0,0,0,0,-82,113,40.82,1,0,0,0,0,19,0,0,0.449494949,13,2,0
10.1101/2020.07.09.20150227,3.25,0,0,-1059,1177,7,1,0,0,0,1,1,-1,0,0,0,-256,327,2.79,1,0,-1,-1,-1,23,0,0,0.5,5,2,1
10.1101/2020.07.09.20150235,1.25,0,0,-983,1230,3,1,0,0,0,1,0,16,1,0,0,-131,335,31.99,0.657,0,35,18,4,76,43,0,0.511315789,9,2,1
10.1101/2020.07.10.194498,1.85,-78,118,-1032,1283,1,0,0,0,1,1,0,0,0,0,0,-289,369,16.62,1,0,0,0,0,55,0,0,0.413690476,6,2,1
10.1101/2020.07.10.197079,29.796,-46,97,-1118,1503,6,0,0,0,1,1,0,18,13,12,0,-353,492,30.13,0.0001,0,43,14,10,84,0,1,0.417408009,11,0.920792079,1
10.1101/2020.07.10.197095,8.25,-130,173,-1982,2301,15,0,0,0,1,1,1,-1,0,0,0,-300,400,42.51,1,0,-1,-1,-1,40,0,0,0.488425926,27,2,1
10.1101/2020.07.10.197814,16.05,-155,212,-1612,1903,9,0,0,0,1,1,1,-1,0,0,0,-382,525,13.28,1,0,-1,-1,-1,42,0,1,0.466298701,17,2,1
10.1101/2020.07.10.197889,124.28,-27,102,-3150,3616,5,0,0,0,1,1,1,0,0,0,0,-210,298,41.09,1,0,0,0,0,47,0,0,0.459744898,31,0.742574257,1
10.1101/2020.07.10.197988,13.85,3,73,-706,1361,15,0,0,0,1,1,0,3,0,0,0,-139,316,38.35,1,0,13,6,1,34,0,0,0.4075,21,2,1
10.1101/2020.07.10.20147942,6,0,0,-832,934,18,1,0,0,0,1,1,0,12,5,0.147,-107,169,30.91,0.003,0,10,0,2,26,106,0,0.487916667,9,2,0
10.1101/2020.07.10.20149013,30.85,0,0,-1982,2119,6,1,0,0,0,1,0,0,0,0,0,-173,210,42.31,1,0,0,0,0,30,0,0,0.302222222,33,2,1
10.1101/2020.07.10.20149237,30.65,0,0,-836,1064,7,1,0,0,0,1,0,-1,2,2,0,-133,168,13.48,0.0006,0,-1,-1,-1,10,0,0,0.427941176,42,2,1
